Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
11,Seattle Mariners,87,75,0.537,3.9,3.4,0.5,0.2,0.7,91-71,-4,18-15,19-14,41-35,11-Sep,41-40,46-35,07-Apr,18-27,55-52,32-23,45-35,42-40
12,Cleveland Indians,85,77,0.525,4.1,4,0.1,0.1,0.1,83-79,2,19-14,39-37,17-16,10-Oct,48-33,37-44,13-Aug,25-21,60-52,25-25,36-47,49-30
13,New York Yankees,84,78,0.518,3.9,4.1,-0.2,0.1,0,77-85,7,37-39,19-16,15-16,13-Jul,43-38,41-40,07-Jul,28-24,60-58,24-20,41-45,43-33
14,Toronto Blue Jays,83,79,0.512,4.5,4.2,0.2,0.1,0.3,85-77,-2,39-37,16-16,15-19,13-Jul,46-35,37-44,08-May,15-20,63-60,20-19,41-47,42-32
15,Milwaukee Brewers,82,80,0.506,4,4.1,0,-0.2,-0.2,80-82,2,15-19,36-40,20-Dec,09-Nov,42-39,40-41,06-Jul,23-19,60-62,22-18,33-33,49-47
16,Atlanta Braves,79,83,0.488,3.5,3.7,-0.1,-0.1,-0.2,78-84,1,40-36,20-13,21-Dec,13-Jul,42-39,37-44,10-Jul,25-28,60-68,19-15,28-34,51-49
17,New York Mets,79,83,0.488,3.9,3.8,0.1,-0.1,0,82-80,-3,38-38,16-18,14-18,09-Nov,40-41,39-42,08-Jul,26-29,62-67,17-16,24-43,55-40
18,San Diego Padres,77,85,0.475,3.3,3.6,-0.3,-0.2,-0.4,75-87,2,17-17,18-14,33-43,11-Sep,48-33,29-52,05-Oct,33-21,58-64,19-21,35-42,42-43
19,Tampa Bay Rays,77,85,0.475,3.8,3.9,-0.1,0.1,0.1,79-83,-2,36-40,14-18,17-17,10-Oct,36-45,41-40,10-Aug,25-23,57-61,20-24,47-59,30-26
20,Miami Marlins,77,85,0.475,4,4.2,-0.2,-0.1,-0.3,78-84,-1,33-43,14-18,17-17,13-Jul,42-39,35-46,12-Sep,35-29,57-69,20-16,25-35,52-50
21,Cincinnati Reds,76,86,0.469,3.7,3.8,-0.1,-0.1,-0.3,79-83,-3,14-18,40-36,16-18,14-Jun,44-37,32-49,09-Apr,22-38,59-69,17-17,45-45,31-41
22,Chicago White Sox,73,89,0.451,4.1,4.7,-0.6,0.1,-0.5,71-91,2,16-18,33-43,13-19,09-Nov,40-41,33-48,08-Jun,28-24,51-66,22-23,45-59,28-30
23,Chicago Cubs,73,89,0.451,3.8,4.4,-0.6,-0.1,-0.7,71-91,2,16-16,33-43,15-19,11-Sep,41-40,32-49,10-Aug,19-21,57-71,16-18,37-50,36-39
24,Philadelphia Phillies,73,89,0.451,3.8,4.2,-0.4,0,-0.4,73-89,0,34-42,15-18,17-16,13-Jul,37-44,36-45,11-Oct,28-27,50-67,23-22,28-40,45-49
25,Boston Red Sox,71,91,0.438,3.9,4.4,-0.5,0.2,-0.3,72-90,-1,31-45,17-16,14-19,11-Sep,34-47,37-44,11-Oct,28-28,49-64,22-27,38-68,33-23
26,Houston Astros,70,92,0.432,3.9,4.5,-0.6,0.3,-0.3,71-91,-1,16-18,14-18,35-41,15-May,38-43,32-49,05-Jun,17-28,49-66,21-26,43-58,27-34
27,Minnesota Twins,70,92,0.432,4.4,4.8,-0.4,0.1,-0.3,75-87,-5,14-18,36-40,23-Nov,11-Sep,35-46,35-46,07-Jun,21-24,46-60,24-32,44-64,26-28
28,Texas Rangers,67,95,0.414,3.9,4.8,-0.8,0.3,-0.5,67-95,0,23-Oct,14-19,33-43,10-Oct,33-48,34-47,05-Feb,25-22,45-66,22-29,37-63,30-32
29,Colorado Rockies,66,96,0.407,4.7,5,-0.4,-0.2,-0.6,75-87,-9,13-20,23-Oct,36-40,13-Jul,45-36,21-60,07-Jul,20-24,43-73,23-23,22-51,44-45
30,Arizona Diamondbacks,64,98,0.395,3.8,4.6,-0.8,-0.1,-0.9,67-95,-3,21-Nov,15-19,31-45,13-Jul,33-48,31-50,06-Oct,23-30,49-73,15-25,21-54,43-44
,Average,81,81,0.5,4.1,4.1,,,,81-80,,23-23,23-23,23-23,10-Oct,42-38,38-42,07-Jul,24-24,58-59,22-21,36-44,44-36
